Frames,Q value
0,0.0014677919447422028
1,0.003058318953961134
2,0.004786550986710936
3,0.006585412907604407
4,0.00836476298129957
5,0.010167317876186164
6,0.011983473402779658
7,0.01380572409034645
8,0.01579402339605362
9,0.018223676879079456
10,0.02122035238134559
11,0.024813341994312975
12,0.029034956653646065
13,0.03377829019023257
14,0.03887399806255411
15,0.04415085166499952
16,0.04945007700281252
17,0.05458946347101654
18,0.05933748387560055
19,0.06347757130611421
20,0.06685723753769933
21,0.06943415544966598
22,0.07123797801958562
23,0.07241891294209069
24,0.0736426997894095
25,0.07515725754404827
26,0.07676600864918272
27,0.0783065470470417
28,0.07977182684852295
29,0.08123853080889627
30,0.08266203266435801
31,0.08404456187033325
32,0.08545019473334105
33,0.0870800575561469
34,0.08887333856447631
35,0.09082168038181437
36,0.09286152315154189
37,0.09493245678200764
38,0.09699901945461005
39,0.0990138757927599
40,0.10095563875236764
41,0.10279596045479836
42,0.10450575708241595
43,0.10595970952607073
44,0.10709371011531743
45,0.10767007665704699
46,0.10787800429152108
47,0.10851185943183526
48,0.10918482927848637
49,0.11013045966056875
50,0.11138795330256972
51,0.1129152046795696
52,0.11469329370262522
53,0.11670002379354126
54,0.11890955500945057
55,0.12126088216383142
56,0.12367451860613116
57,0.1260819844477967
58,0.12840506901475068
59,0.13054339739463344
60,0.13239271352209356
61,0.13406951208879667
62,0.13571843668888278
63,0.1371165081783624
64,0.13812035089729915
65,0.13916846178142922
66,0.14048607405878955
67,0.14199943130784795
68,0.14363385664071338
69,0.14532239759477444
70,0.14701812358587885
71,0.14869615785708482
72,0.15031942000655632
73,0.1518404718668755
74,0.15321565208329146
75,0.1544008193394136
76,0.1552927018494098
77,0.1557934238696332
78,0.15627924525870027
79,0.1567597172112512
80,0.1572350573583435
81,0.15770921110945652
82,0.15819293096501152
83,0.15869556815092095
84,0.15922947770268728
85,0.15980696077825082
86,0.16043155683778768
87,0.16108662130668291
88,0.16178460584107396
89,0.16253604673041144
90,0.1633223528840122
91,0.16414324969074007
92,0.1650023097532071
93,0.1658996520502758
94,0.16683374361923087
95,0.16780155548599454
96,0.16879877712231234
97,0.16981810340853382
98,0.17081795940323657
99,0.17177283257719245
100,0.17260046455287917
101,0.17340807313480838
102,0.17415635634248525
103,0.17484600508750622
104,0.17546906802771925
105,0.17601990421662578
106,0.17650960287898382
107,0.1769569419269001
108,0.17737364072919035
109,0.1777747254850819
110,0.17816686072706608
111,0.1785504082994226
112,0.17893208000618027
113,0.1793205912300946
114,0.17972659548243453
115,0.1801607399455703
116,0.1806324355627732
117,0.18115483886614525
118,0.1817073526559473
119,0.18230195070955257
120,0.1829470828625047
121,0.18363066939266734
122,0.1843490605117227
123,0.18510387316729016
124,0.18589543785163223
125,0.18672250775576552
126,0.18758239212374403
127,0.188470553094415
128,0.18938204723655858
129,0.1902729195621548
130,0.1911211783345146
131,0.1918976582370525
132,0.19263216256061333
133,0.19334742086096945
134,0.19402307245810352
135,0.19463805083246155
136,0.1951927523334033
137,0.19567547098960586
138,0.19609149736052034
139,0.19645854159867615
140,0.19678890141896874
141,0.19709718590862757
142,0.19739523250915378
143,0.19768599843444903
144,0.19797069772665865
145,0.19825962448976678
146,0.19855751493114165
147,0.19888051955943548
148,0.19923873917261775
149,0.1996493550153575
150,0.20009573036948258
151,0.2005781780267439
152,0.201106483224209
153,0.20168201214150583
154,0.20229213506624713
155,0.2029388161529341
156,0.203622756547639
157,0.2043434142631041
158,0.2050987344249028
159,0.20588531687434697
160,0.20669634433193307
161,0.2075127222651768
162,0.20829545917331732
163,0.20901261870968796
164,0.20967279979967987
165,0.21030944539941346
166,0.21092557712463347
167,0.21148102134513327
168,0.2119785297592206
169,0.2124095610217576
170,0.21277005748740266
171,0.2130724618872749
172,0.213333929964954
173,0.21356695211143203
174,0.21378662923604105
175,0.2139985324038238
176,0.214202516306212
177,0.21440642219148737
178,0.2146183021431749
179,0.21485108670868047
180,0.21511276701680007
181,0.2154152098188125
182,0.21576729728528618
183,0.21615106296718137
184,0.21657751778780537
185,0.21705624298372886
186,0.2175724938704414
187,0.21812461818435525
188,0.2187141048923417
189,0.21934113881739056
190,0.2200043361072075
191,0.22070088425089018
192,0.2214258515498544
193,0.22217323498360292
194,0.2228975472435337
195,0.22357748818368284
196,0.22418741079778187
197,0.2247591303204264
198,0.22531234770841319
199,0.22582302214779243
200,0.22616169898179567
201,0.22662875645582933
202,0.2272391363010698
203,0.22792573529539145
204,0.22859838375714767
205,0.229299770548155
206,0.23002026381138868
207,0.23075233054691244
208,0.23165589682033677
209,0.2330062409362412
210,0.23492900361822153
211,0.23745344997500453
212,0.24061186409443416
213,0.24429731309381672
214,0.24834042585162033
215,0.2525699473151204
216,0.2568270771746828
217,0.2609295786420274
218,0.26464589847075637
219,0.26775944382829425
220,0.2701177006972685
221,0.2716783162934373
222,0.2724709180591381
223,0.27264568828144536
224,0.2728683412520674
225,0.2733867707993929
226,0.27400437433825064
227,0.27455872090766426
228,0.27504273983984234
229,0.27553308923525904
230,0.27598511829858896
231,0.276401032076393
232,0.27684488258837053
233,0.27751777197190125
234,0.2783588644081519
235,0.27935977859627154
236,0.2804569308749268
237,0.2815898874667756
238,0.2827231629859542
239,0.2838093986064473
240,0.28482718395198664
241,0.28574814792841924
242,0.2865431836186687
243,0.2870869489296422
244,0.2873153133218711
245,0.2869905718475679
246,0.2863018970060894
247,0.2860436326828307
248,0.2858289436632268
249,0.2858913534733855
250,0.2862700426463224
251,0.2869228835766035
252,0.28783093420517397
253,0.2889719760935773
254,0.2903201475479864
255,0.2918144217396746
256,0.2933752904840951
257,0.2949342524663708
258,0.2964130756932319
259,0.2977113640397222
260,0.2987248403339569
261,0.29956997826660076
262,0.3003914005357978
263,0.3009661072060429
264,0.3011507019298412
265,0.3013836610588086
266,0.301890197339782
267,0.3025965339724354
268,0.30342797379197795
269,0.30431754416028267
270,0.3052182944185596
271,0.3061053278356021
272,0.30694154413518104
273,0.30767948537485706
274,0.3082754705237331
275,0.3086853386876531
276,0.30880579860090807
277,0.30853895513737395
278,0.3082610488701023
279,0.3079816118045962
280,0.3077008424787218
281,0.30742266730423295
282,0.3071578198788141
283,0.3069156326201545
284,0.30670844184957463
285,0.30654853010440375
286,0.30643941831730986
287,0.30636444347880754
288,0.3063360389023379
289,0.3063647226263691
290,0.30643188540049004
291,0.3065372345446355
292,0.306684324682833
293,0.3068732569052536
294,0.3071024804499338
295,0.307368948632544
296,0.30766833330312904
297,0.30799331180844647
298,0.30830229176114965
299,0.30856974327331593
300,0.30876548277086996
301,0.30892275925291823
302,0.3090626552704392
303,0.3091566798317831
304,0.30919195106051955
305,0.3091595409906952
306,0.30905190471848476
307,0.30887816878378815
308,0.30865682700832014
309,0.30840183304609387
310,0.30812834602422734
311,0.30785157787122414
312,0.3075745407221863
313,0.30729509864854404
314,0.3070240823649819
315,0.3067681813421188
316,0.30654321760549413
317,0.306359130664281
318,0.3062310224582691
319,0.3061381302556286
320,0.3060884765952314
321,0.3060941901513574
322,0.30614501612137696
323,0.3062328238772073
324,0.3063617370316669
325,0.30653265125357493
326,0.30674476496149466
327,0.3069957001647405
328,0.3072816921395905
329,0.307596055284861
330,0.3079205474532094
331,0.30821103559633733
332,0.3084355051633431
333,0.30860552261671725
334,0.30875431964843764
335,0.30887820494869395
336,0.3089394977871135
337,0.30894045617457605
338,0.30886782649502154
339,0.30872471284000347
340,0.30852501934143534
341,0.30828505912071236
342,0.30801934220247007
343,0.30774375862641407
344,0.3074668609244571
345,0.3071883811878394
346,0.3069132926916674
347,0.3066517206570821
348,0.3064150682666511
349,0.30621352043953715
350,0.3060610562659417
351,0.30595733123487523
352,0.3058886545447405
353,0.3058668422162688
354,0.30590084306626075
355,0.30597322455711573
356,0.3060839716624128
357,0.30623651547340086
358,0.30643082939676436
359,0.30666524516221416
360,0.30693661242666986
361,0.307240513906811
362,0.30756816765288975
363,0.3078768438410497
364,0.3081416665891983
365,0.3083356413228588
366,0.3084938184438507
367,0.30863455710195187
368,0.30872609191632044
369,0.30875852091737876
370,0.30872239755302816
371,0.3086116535095036
372,0.308435562353782
373,0.30821336143806066
374,0.3079585703157039
375,0.3076864626092651
376,0.30741138188566003
377,0.30713589587691037
378,0.3068587955920716
379,0.3065909213526423
380,0.30633875835635843
381,0.3061188109532504
382,0.305939870533986
383,0.30581714329158755
384,0.3057283436154357
385,0.30568428715274293
386,0.3056956511319134
387,0.3057512844773681
388,0.30584408418801307
389,0.30597810604755626
390,0.3061541168420675
391,0.3063711925632275
392,0.3066268438364152
393,0.3069172122472285
394,0.30723523376403156
395,0.30755952136345516
396,0.3078489531670478
397,0.30806879971886625
398,0.30823818157705296
399,0.30838772529403036
400,0.3083135786123024
401,0.3083698766881835
402,0.3085715509322622
403,0.3088514878534279
404,0.309119507552394
405,0.3094182887244251
406,0.3097381893967774
407,0.3100716665043742
408,0.31057863609801123
409,0.31153436651752725
410,0.31306448857160113
411,0.31519825750361724
412,0.3179679475854038
413,0.3212666161673315
414,0.3249248824097675
415,0.32877148159047687
416,0.3326476037786625
417,0.33637100261298725
418,0.3397101153218614
419,0.3424483395951438
420,0.3444331519852838
421,0.34562219032501257
422,0.34604507272055546
423,0.34585197216955565
424,0.34570859372073715
425,0.3458628220057193
426,0.3461180452885454
427,0.34631182350320755
428,0.34643707692240794
429,0.3465704546324118
430,0.34666729686875597
431,0.3467297997537092
432,0.34682200642730016
433,0.3471450101916362
434,0.3476379664367881
435,0.3482924851147646
436,0.3490449738608274
437,0.3498349902377467
438,0.3506270402430704
439,0.351373756477278
440,0.35205372003346314
441,0.35263855132948835
442,0.3530991350027325
443,0.3533101205567857
