Frames,Q value
0,0.001550537496805191
1,0.003567667096108198
2,0.0059197311925925315
3,0.008432723333577048
4,0.010944241448133222
5,0.013351079864372398
6,0.015559991804613905
7,0.01760876218956209
8,0.019632951123308033
9,0.021837101006782985
10,0.024361116385614424
11,0.02722858804730055
12,0.030520749898514547
13,0.03420460328231512
14,0.038157759152317124
15,0.042288506778331354
16,0.04649556878059158
17,0.05065225657656594
18,0.054601423753804265
19,0.05822583859109756
20,0.06139981618343947
21,0.06397468141183318
22,0.06594669347015755
23,0.06725796006503403
24,0.06849023622940764
25,0.06986592171646587
26,0.07126306691037759
27,0.07230617639696409
28,0.07282014632810584
29,0.07297391217069311
30,0.07264033678060672
31,0.07181357789060941
32,0.07055683350345854
33,0.06907853616975206
34,0.0673737659855082
35,0.06551432988339438
36,0.06351463024206265
37,0.06142672046289214
38,0.05939881939236364
39,0.05756129541845442
40,0.05603145644324089
41,0.05489913587600767
42,0.05422293655580904
43,0.05391011873825483
44,0.05409108217800033
45,0.05456832479102562
46,0.0553489162873212
47,0.056880233156604426
48,0.05856624159274821
49,0.060480922644267805
50,0.0625841573218561
51,0.06467161243789957
52,0.06677021148110825
53,0.06893081555261087
54,0.07117759887423517
55,0.07348439073091913
56,0.07582057913788694
57,0.07816512330020761
58,0.08049851187991171
59,0.08278728913548025
60,0.08508149479156753
61,0.08742593661799422
62,0.08990684798533836
63,0.09164732921043281
64,0.09220715122202681
65,0.09209075097487121
66,0.09199539727592985
67,0.0919625863268117
68,0.09196131703108243
69,0.09197148278817974
70,0.09200585416195904
71,0.09208458226007148
72,0.09222842326538279
73,0.09244604446413747
74,0.09274602830641487
75,0.09314341980449213
76,0.09361148389717633
77,0.0941430932281215
78,0.09472238339163959
79,0.09538061755987216
80,0.09613266226054974
81,0.09699566228409348
82,0.09799373768670995
83,0.09914321799863497
84,0.10045429765472982
85,0.10193349943353457
86,0.10355175858403001
87,0.10524983807441025
88,0.10702821722642826
89,0.10886837517679895
90,0.11071563614491482
91,0.11255452701269031
92,0.11439442118480155
93,0.11624309860738095
94,0.11810759922719616
95,0.11999407231561676
96,0.1219076533680516
97,0.12383755430256631
98,0.12570471736542313
99,0.12745532539375792
100,0.1288341818367812
101,0.13005099251119256
102,0.13107364189104956
103,0.1319146144630446
104,0.13259849372513335
105,0.13314192534379368
106,0.13358617840397105
107,0.133982373928992
108,0.13437381268808068
109,0.13480596648516732
110,0.1353045707923985
111,0.13588481634387398
112,0.13656838642638305
113,0.13737721405969036
114,0.13833021329575024
115,0.13943460306226785
116,0.14070033005968807
117,0.14210878116126455
118,0.1436014266880792
119,0.14517152921478743
120,0.14681222511371167
121,0.14847228319123376
122,0.15013391180556626
123,0.15179599401059748
124,0.15346604174692915
125,0.15515088462221513
126,0.1568565168606336
127,0.1585856766138434
128,0.16033033342965344
129,0.16200747994332373
130,0.16357341615567722
131,0.16498626452852355
132,0.16625006532925587
133,0.1673501732804073
134,0.16827205000752257
135,0.1690058517211862
136,0.16957306973292596
137,0.16998958579295273
138,0.17028760074710278
139,0.17051667954365166
140,0.17072104504615618
141,0.1709464154686133
142,0.17122979832046945
143,0.1715909888892566
144,0.1720443370239386
145,0.1726152502780126
146,0.1733197821446798
147,0.17417286604664714
148,0.17518984860352557
149,0.1763664861842098
150,0.17765011627698757
151,0.17901104875434132
152,0.180451545189704
153,0.1819349572614144
154,0.1834262916771108
155,0.18491695004511835
156,0.18641307263990162
157,0.18792181643717307
158,0.18944957023569398
159,0.19100181514898845
160,0.1925735542536329
161,0.194125243426735
162,0.19558224092857832
163,0.19690114881477863
164,0.19806979097676974
165,0.19908168139819243
166,0.1999321114187451
167,0.20058922767730422
168,0.2010678358981153
169,0.20139251178191056
170,0.2015817631836486
171,0.20167849205016825
172,0.20173215869436
173,0.20178678031615901
174,0.20188742778075958
175,0.20205812922980743
176,0.20231284762925927
177,0.2026747868972966
178,0.20316483552111778
179,0.20380321085432493
180,0.20459495157280988
181,0.20554943764634956
182,0.20664330422884114
183,0.20782093216484643
184,0.20907737522779232
185,0.21040342098386122
186,0.2117465791273264
187,0.21309229044937164
188,0.21444071384548102
189,0.2157993009390191
190,0.2171748059737928
191,0.2185731361170119
192,0.21999581651987715
193,0.2214330170265493
194,0.22279666339785842
195,0.22404685867879623
196,0.2251448020019985
197,0.22609391195132955
198,0.226881235695301
199,0.22748879597299934
200,0.22790188948993953
201,0.22878726232927687
202,0.23001322844959537
203,0.2314057531042949
204,0.23280240606999747
205,0.23409995366312733
206,0.23520512123437506
207,0.23615566597217444
208,0.2370871203870073
209,0.23820399942416376
210,0.23964618031090829
211,0.24143722665296793
212,0.2436583453111536
213,0.24627651071789097
214,0.2491693070507151
215,0.25224499693723734
216,0.25540227648870306
217,0.2585144307461369
218,0.26142428705252735
219,0.264014587573327
220,0.2661596214207578
221,0.2677106876229649
222,0.26866401965023357
223,0.2689616996142096
224,0.26918545708083735
225,0.26955766646363843
226,0.2699563529338143
227,0.2700059959902836
228,0.2695314668234587
229,0.2687016760635692
230,0.26738946185401846
231,0.2655889573386541
232,0.263363336054263
233,0.26092100620780245
234,0.25825702367336834
235,0.2554431712828152
236,0.25249382743448634
237,0.24946102166935372
238,0.2464929490927929
239,0.24371995447038153
240,0.24125932219990834
241,0.23920086230389176
242,0.2376031543515537
243,0.23637343544502076
244,0.23564208230123243
245,0.23521156991364153
246,0.23508894518432402
247,0.23572156190912222
248,0.2365133637015034
249,0.23753830914247923
250,0.23875625688757646
251,0.2399628515057913
252,0.2411849943536605
253,0.24247352451080037
254,0.24385259428763373
255,0.2452960111672507
256,0.24677314147203686
257,0.24826292282268675
258,0.24974582240477844
259,0.25118836310772263
260,0.2526405633939487
261,0.2541472098773635
262,0.2557945148784108
263,0.25670555776903986
264,0.25644008863784085
265,0.25550252370360615
266,0.2545901111410211
267,0.2537443266225775
268,0.25293414862536945
269,0.2521394502244953
270,0.251372981761093
271,0.2506548742212098
272,0.2500058637667154
273,0.24943459776296342
274,0.24894963883874668
275,0.24856601228416228
276,0.2482569634144481
277,0.24801534534780692
278,0.2478252742507266
279,0.2477179939646637
280,0.24770835178331732
281,0.24781347335924725
282,0.24805745970648796
283,0.24845662140831412
284,0.24902113404736057
285,0.24975750164420216
286,0.2506366407836442
287,0.2515992958630264
288,0.2526459277261013
289,0.2537579971239736
290,0.25488080998235363
291,0.2559988749809419
292,0.25712154741321186
293,0.2582565892046492
294,0.25941102237147806
295,0.2605909783441772
296,0.2618015748664692
297,0.2630320061934918
298,0.26420319699689404
299,0.2652613126270715
300,0.26616048301434314
301,0.2669042427614323
302,0.2674792323389269
303,0.26786162165892363
